sid	stype	description	context	celltype	controlsra	treatmentsra	date	missingtreatmentsra	missingcontrolsra	category	platform	accession	species	ptype	drug	gene
100	CD	The KDM6 histone demethylases (UTX/KDM6A and JMJD3/KDM6B) mediate removal of repressive histone H3K27me3 marks to establish transcriptionally permissive chromatin. Loss of UTX in female mice is embryonic lethal. Unexpectedly male UTX-null mice escape embryonic lethality due to expression of UTY a paralog lacking H3K27-demethylase activity. This suggests that UTX plays an enzyme-independent role in development and challenges the need for active H3K27-demethylation in vivo. However the requirement for active H3K27-demethylation in stem cell-mediated tissue regeneration remains untested. Using an inducible mouse knockout that ablates UTX in satellite cells we show that active H3K27-demethylation is necessary for muscle regeneration. Indeed loss of UTX in satellite cells blocks myofiber regeneration in both male and female mice. Furthermore we demonstrate that UTX mediates muscle regeneration through its H3K27-demethylase activity using a chemical inhibitor and a demethylase-dead UTX knock-in mouse. Mechanistically dissection of the muscle regenerative process revealed that UTX is required for expression of the transcription factor Myogenin that drives differentiation of muscle progenitors. Thus we have identified a critical role for the enzymatic activity of UTX in activating muscle-specific gene expression during myofiber regeneration revealing for the first time that active H3K27-demethylation has a physiological role in vivo.	gene	Muscle satellite cells	GSM2039003,GSM2039004	GSM2039005,GSM2039006	2017-01-04 00:18:57			gene	GPL13112 ; GPL19057	GSE69968	Mus musculus	Knockin		UTX
101	CD	The histone 3 lysine 9 methyltransferase Setdb1 is essential for both stem cell pluripotency and terminal differentiation of different cell types. To shed light on Setdb1 roles in these mutually exclusive processes we used mouse skeletal myoblasts as a model of terminal differentiation. Ex vivo studies on isolated single myofibres showed that Setdb1 is required for muscle adult stem cells expansion following activation. In vitro studies in skeletal myoblasts confirmed that Setdb1 suppresses terminal myoblast differentiation. Genomic binding analyses showed a release of Setdb1 from the promoter of selected target genes upon myoblast terminal differentiation concomitant to a nuclear export of Setdb1 to the cytoplasm. Both genomic release and cytoplasmic Setdb1 relocalisation during differentiation were dependent on canonical Wnt signalling. Together our findings revealed Wnt-dependent subcellular relocalisation of Setdb1 as a novel mechanism regulating Setdb1 functions and adult myogenesis.	gene	Skeletal muscle (C2C12 cells)	GSM1716675,GSM1716676,GSM1716677	GSM1716678,GSM1716679,GSM1716680	2017-01-04 00:19:03			gene	GPL13112	GSE70069	Mus musculus	Knockdown		Setdb1
102	CD	The histone 3 lysine 9 methyltransferase Setdb1 is essential for both stem cell pluripotency and terminal differentiation of different cell types. To shed light on Setdb1 roles in these mutually exclusive processes, we used mouse skeletal myoblasts as a model of terminal differentiation. Ex vivo studies on isolated single myofibres showed that Setdb1 is required for muscle adult stem cells expansion following activation. In vitro studies in skeletal myoblasts confirmed that Setdb1 suppresses terminal myoblast differentiation. Genomic binding analyses showed a release of Setdb1 from the promoter of selected target genes upon myoblast terminal differentiation, concomitant to a nuclear export of Setdb1 to the cytoplasm. Both genomic release and cytoplasmic Setdb1 relocalisation during differentiation were dependent on canonical Wnt signalling. Together, our findings revealed Wnt-dependent subcellular relocalisation of Setdb1 as a novel mechanism regulating Setdb1 functions and adult myogenesis.	gene	C2C12 myoblast cell line	GSM1716675,GSM1716676,GSM1716677	GSM1716678,GSM1716679,GSM1716680	2017-01-04 00:19:06			gene	GPL13112	GSE70069	Mus musculus	knockdown		Setdb1
103	CD	RNA-SEQ profiling of mouse dopaminergic neurons from the mouse mid-brain with AAV1 injections using a Satb1 shRNA-EGFP construct or a scrambed shRNA-EGFP construct	gene	Midbrain Dopaminergic Neurons	GSM1717411,GSM1717412,GSM1717413	GSM1717414,GSM1717415,GSM1717416	2017-01-04 00:19:11			gene	GPL13112	GSE70133	Mus musculus	Knockdown		Satb1
104	CD	We report that long noncoding RNAs contribute to transcription and developmental process. Thousands of lncRNAs have been identified in the whole genome, and tend to located closely to protein-coding genes. To study position relationship between lncRNA and protein-coding genes, we classified all of lncRNA to several subgroups based on the genome position with their coding neighbors. XH, the head to head subgroup is associated with transcription and development in GO analysis. Here, we knockdown serveral XH lncRNA by shRNA in embryonic stem cells and induce nondirectional differnetiation by removing LIF or neural differnetiation by RA. Knockdown of XH lncRNAs led to uniform downregulation of nearby coding genes, and form regulatory circuits with its nearby coding genes to fine-tune embryonic lineage development. In addition, we also knockout one lncRNA-Evx1as and its nearby protein-coding gene-EVX1 by CRISPR, and get similar results as knockdown.We propose that XH lncRNA may function primarily as 'cis-regulators' of the expression of nearby protein-coding genes, and tend to participate in transcriptional or development regulations as their coding neighbors.	gene	CJ9 stem cells 	GSM1727251,GSM1727252	GSM1727253,GSM1727254,GSM1727255	2017-01-04 00:19:15			gene	GPL13112	GSE70419	Mus musculus	knockout		EVX1AS
105	CD	We report that long noncoding RNAs contribute to transcription and developmental process. Thousands of lncRNAs have been identified in the whole genome, and tend to located closely to protein-coding genes. To study position relationship between lncRNA and protein-coding genes, we classified all of lncRNA to several subgroups based on the genome position with their coding neighbors. XH, the head to head subgroup is associated with transcription and development in GO analysis. Here, we knockdown serveral XH lncRNA by shRNA in embryonic stem cells and induce nondirectional differnetiation by removing LIF or neural differnetiation by RA. Knockdown of XH lncRNAs led to uniform downregulation of nearby coding genes, and form regulatory circuits with its nearby coding genes to fine-tune embryonic lineage development. In addition, we also knockout one lncRNA-Evx1as and its nearby protein-coding gene-EVX1 by CRISPR, and get similar results as knockdown.We propose that XH lncRNA may function primarily as 'cis-regulators' of the expression of nearby protein-coding genes, and tend to participate in transcriptional or development regulations as their coding neighbors.	gene	CJ9 stem cells 	GSM1727251,GSM1727252	GSM1727256,GSM1727257,GSM1727258	2017-01-04 00:19:19			gene	GPL13112	GSE70419	Mus musculus	knockout		EVX1
106	CD	Establishment and differentiation of mammary alveoli during pregnancy are controlled by prolactin through the transcription factor STAT5. As pregnancy progresses mammary signature genes are activated in a defined temporal order, which coincides with the recruitment of STAT5 to respective regulatory sequences. This study addressed the question whether the methyltransferase and transcriptional co-activator EZH2 controls the differentiation clock of mammary epithelium. Ablation of Ezh2 from mammary stem cells resulted in precocious differentiation of alveolar epithelium during pregnancy and the activation of mammary-specific STAT5 target genes. This coincided with enhanced occupancy by STAT5, EZH1 and Pol II to these loci. Limited activation of differentiation-specific genes was also observed in mammary epithelium lacking both EZH2 and STAT5, suggesting a modulating but not mandatory role for STAT5. Notably, loss of EZH2 did not result in overt changes in genome-wide and gene-specific H3K27me3 patterns, suggesting that enhanced EZH1 recruitment can compensate for the loss of EZH2. Differentiated mammary epithelia failed to form in the combined absence of EZH1 and EZH2. Transplantation experiments failed to demonstrate a role for EZH2 in the biology of mammary stem and progenitor cells. In summary, while EZH1 and EZH2 serve redundant functions in the establishment of H3K27me3 and formation of mammary alveoli, the presence of EZH2 is required to obtain controlled temporal differentiation of mammary epithelium.	gene	Mammary gland	GSM1754921,GSM1754922,GSM1754923,GSM1754924,GSM1754925,GSM1754926	GSM1754909,GSM1754910,GSM1754911	2017-01-04 00:19:25			gene	GPL13112	GSE70440	Mus musculus	knockout		Ezh1
107	CD	 Establishment and differentiation of mammary alveoli during pregnancy are controlled by prolactin through the transcription factor STAT5. As pregnancy progresses mammary signature genes are activated in a defined temporal order, which coincides with the recruitment of STAT5 to respective regulatory sequences. This study addressed the question whether the methyltransferase and transcriptional co-activator EZH2 controls the differentiation clock of mammary epithelium. Ablation of Ezh2 from mammary stem cells resulted in precocious differentiation of alveolar epithelium during pregnancy and the activation of mammary-specific STAT5 target genes. This coincided with enhanced occupancy by STAT5, EZH1 and Pol II to these loci. Limited activation of differentiation-specific genes was also observed in mammary epithelium lacking both EZH2 and STAT5, suggesting a modulating but not mandatory role for STAT5. Notably, loss of EZH2 did not result in overt changes in genome-wide and gene-specific H3K27me3 patterns, suggesting that enhanced EZH1 recruitment can compensate for the loss of EZH2. Differentiated mammary epithelia failed to form in the combined absence of EZH1 and EZH2. Transplantation experiments failed to demonstrate a role for EZH2 in the biology of mammary stem and progenitor cells. In summary, while EZH1 and EZH2 serve redundant functions in the establishment of H3K27me3 and formation of mammary alveoli, the presence of EZH2 is required to obtain controlled temporal differentiation of mammary epithelium.	gene	Mammary gland	GSM1754921,GSM1754922,GSM1754923,GSM1754924,GSM1754925,GSM1754926	GSM1754912,GSM1754913,GSM1754914	2017-01-04 00:19:31			gene	GPL13112	GSE70440	Mus musculus	knockout		Ezh2
108	CD	 RNA-seq analysis documented mRNA changes in total pancreatic RNA preparations 14 days after Ptf1a inactivation.	gene	14 days - Pancreas	GSM1808836,GSM1808837,GSM1808838	GSM1808839,GSM1808840,GSM1808841	2017-01-04 00:19:35			gene	GPL17021	GSE70542	Mus musculus	conditional knockout		Ptf1a
109	CD	Upon antigen recognition B cells undertake a bifurcated response in which some cells rapidly differentiate into plasmablasts while others undergo affinity maturation in germinal centers (GC). We uncover a double negative feedback loop between interferon regulatory factors IRF4 and IRF8 which regulates the initial bifurcation of activated B cells as well as the GC response. IRF8 dampens BCR signaling facilitates antigen specific interaction with helper T cells and promotes selection of high affinity clones while antagonizing IRF4 driven plasmablast differentiation. Genomic analysis reveals concentration dependent action of IRF4 and IRF8 in regulating distinctive gene expression programs. Stochastic modeling suggests that the double negative feedback is sufficient to initiate bifurcating B cell developmental trajectories.	gene	Spleen	GSM1816697,GSM1816698	GSM1816699,GSM1816700	2017-01-04 00:19:39			gene	GPL17021	GSE70711	Mus musculus	Knockout		IRF8
110	CD	Development of the hematopoietic system is dynamically controlled by the interplay of transcriptional and epigenetic networks to determine cellular identity. Those networks are critical for homeostasis and frequently dysregulated in leukemias. We identified histone demethylase Kdm2b as a critical regulator of definitive hematopoiesis and lineage specification of hematopoietic stem and progenitor cells (HSPCs). RNA sequencing in murine HSPCs and genome-wide chromatin immunoprecipitation studies in human leukemias revealed that Kdm2b regulates differentiation lineage choice cytokine signaling and quiescence.	gene	HSPCs	GSM1816880,GSM1816881	GSM1816882,GSM1816883	2017-01-04 00:19:42			gene	GPL17021	GSE70728	Mus musculus	Knockout		KDM2B
111	CD	Antibody-secreting plasma cells are the terminal stage of the B-cell lineage. Plasma cell differentiation requires a major resetting of gene expression to silence the B cell transcriptional program, whilst establishing secretory function and long-term survival. The transcription factors Blimp1 and Irf4 are essential for the initial differentiation of activated B cells to antibody-secreting cells, however their function in mature plasma cells remains elusive. We have found that while Irf4 was essential for plasma cell survival, Blimp1 was dispensable. Blimp1-deficient cells retained the unique plasma cell transcriptional signature, but lost the ability to secrete antibody or to maintain the characteristic size and ultrastructure of plasma cells. Blimp1 was required for full expression of many components of the unfolded protein response (UPR), including Xbp1 and Atf6, as well as for the appropriate processing of Igh mRNA. The overlap of Blimp1 and Xbp1 function was restricted to the UPR genes, with Blimp1 uniquely regulating activity of the mTOR pathway, plasma cell size and morphology. These studies establish Blimp1 as a major regulator of the UPR pathway that is also required for the unique metabolic requirements of plasma cells enabling the secretion of protective antibody.	gene	Bone marrow 	GSM1824689,GSM1824690	GSM1824693,GSM1824694	2017-01-04 00:19:46		GSM1824691,GSM1824692	gene	GPL17021	GSE70981	Mus musculus	knockout		Blimp1
112	CD	PTBP1 and PTBP2 control alternative splicing programs during neuronal development, but the cellular functions of most PTBP1/2-regulated isoforms remain unknown. We show that PTBP1 guides developmental gene expression by regulating the transcription factor Pbx1. We identify exons that are differentially spliced when mouse embryonic stem cells (ESCs) differentiate into neuronal progenitor cells (NPCs) and neurons, and transition from PTBP1 to PTBP2 expression. We define those exons controlled by PTBP1 in ESCs and NPCs by RNA-seq analysis after PTBP1 depletion and PTBP1 crosslinking-immunoprecipitation. We find that PTBP1 represses Pbx1 exon 7 and the expression of its neuronal isoform Pbx1a in ESC. Using CRISPR-Cas9 to delete regulatory elements for exon 7, we induce Pbx1a expression in ESCs, finding that this activates transcription of specific neuronal genes including known Pbx1 targets. Thus PTBP1 controls the activity of Pbx1 and suppresses its neuronal transcriptional program prior to differentiation.	gene	Neuronal progenitor cell (mNPC)	GSM1824712,GSM1824707	GSM1824708,GSM1824709	2017-01-04 00:19:51			gene	GPL13112	GSE70985	Mus musculus	knockdown		Ptbp1
113	CD	PTBP1 and PTBP2 control alternative splicing programs during neuronal development, but the cellular functions of most PTBP1/2-regulated isoforms remain unknown. We show that PTBP1 guides developmental gene expression by regulating the transcription factor Pbx1. We identify exons that are differentially spliced when mouse embryonic stem cells (ESCs) differentiate into neuronal progenitor cells (NPCs) and neurons, and transition from PTBP1 to PTBP2 expression. We define those exons controlled by PTBP1 in ESCs and NPCs by RNA-seq analysis after PTBP1 depletion and PTBP1 crosslinking-immunoprecipitation. We find that PTBP1 represses Pbx1 exon 7 and the expression of its neuronal isoform Pbx1a in ESC. Using CRISPR-Cas9 to delete regulatory elements for exon 7, we induce Pbx1a expression in ESCs, finding that this activates transcription of specific neuronal genes including known Pbx1 targets. Thus PTBP1 controls the activity of Pbx1 and suppresses its neuronal transcriptional program prior to differentiation.	gene	Neuronal progenitor cell (mNPC)	GSM1824712,GSM1824707	GSM1824713,GSM1824714	2017-01-04 00:19:54			gene	GPL13112	GSE70985	Mus musculus	knockodown		Ptbp2
114	CD	PTBP1 and PTBP2 control alternative splicing programs during neuronal development, but the cellular functions of most PTBP1/2-regulated isoforms remain unknown. We show that PTBP1 guides developmental gene expression by regulating the transcription factor Pbx1. We identify exons that are differentially spliced when mouse embryonic stem cells (ESCs) differentiate into neuronal progenitor cells (NPCs) and neurons, and transition from PTBP1 to PTBP2 expression. We define those exons controlled by PTBP1 in ESCs and NPCs by RNA-seq analysis after PTBP1 depletion and PTBP1 crosslinking-immunoprecipitation. We find that PTBP1 represses Pbx1 exon 7 and the expression of its neuronal isoform Pbx1a in ESC. Using CRISPR-Cas9 to delete regulatory elements for exon 7, we induce Pbx1a expression in ESCs, finding that this activates transcription of specific neuronal genes including known Pbx1 targets. Thus PTBP1 controls the activity of Pbx1 and suppresses its neuronal transcriptional program prior to differentiation.	gene	Embryonic stem cell (mESC)	GSM1826503,GSM1826509,GSM1826506	GSM1826504,GSM1826507,GSM1826510	2017-01-04 00:19:58			gene	GPL13112	GSE71075	Mus musculus	knockdown		Ptbp1
115	CD	MECP2 is critical for proper brain development and expressed at near-histone levels in neurons, but the mechanism of its genomic localization remains poorly understood. Using high-resolution MeCP2 binding data, we show that genetic features alone can predict binding with 88% accuracy. Integrating MeCP2 binding and DNA methylation in a probabilistic graphical model, we demonstrate that previously reported methylation preferences may be due to MeCP2’s affinity to GC-rich chromatin, a result replicated using published data. Furthermore, MeCP2 co-localized with nucleosomes, and Mecp2 deletion led to nucleosome repositioning. Finally, MeCP2 binding downstream of promoters correlated with increased expression in Mecp2 deficient neurons.	gene	Olfactory epithelium	GSM1827610,GSM1827611,GSM1827612	GSM1827613,GSM1827614,GSM1827615	2017-01-04 00:20:03			gene	GPL17021	GSE71126	Mus musculus	knockout		MeCP2
116	CD	The colonic lamina propria contains a distinct population of Foxp3+ T regulatory cells (Tregs) that modulate responses to commensal microbes. Analysis of gene expression revealed that the transcriptome of colonic Tregs is distinct from splenic and other tissue Tregs. Ror\\\\xeb_ and Helios in colonic Tregs mark distinct populations: Ror\\\\xeb_+Helios- or Ror\\\\xeb_-Helios+ Tregs. We uncovered an unanticipated role for Ror\\\\xeb_ a transcription factor generally considered to be antagonistic to Foxp3. Ror\\\\xeb_ in colonic Tregs accounts for a small but specific part of the colon-specific Treg signature.	gene	Colonic lamina propria	GSM1831942,GSM1831943,GSM1831944	GSM1831939,GSM1831940,GSM1831941	2017-01-04 00:20:08			gene	GPL17021	GSE71304	Mus musculus	Knockdout		Nrp1neg
117	CD	In this experiment we sought to determine how PRDM14 and CBFA2T2 regulate the transcriptome of mouse embryonic stem cells	gene	KH2 embryonic stem cells	GSM1842784,GSM1842785,GSM1842786	GSM1842778,GSM1842779,GSM1842780	2017-01-04 00:20:12			gene	GPL13112	GSE71674	Mus musculus	Knockout		CBFA2T2
118	CD	In this experiment we sought to determine how PRDM14 and CBFA2T2 regulate the transcriptome of mouse embryonic stem cells	gene	KH2 embryonic stem cells	GSM1842784,GSM1842785,GSM1842786	GSM1842781,GSM1842782,GSM1842783	2017-01-04 00:20:16			gene	GPL13112	GSE71674	Mus musculus	Knockout		PRDM14
119	CD	Transcriptome analysis by RNA-seq of tibialis anterior muscle from control and Smyd1 myocyte-specific conditional knockout mice at 6 weeks of age. Smyd1 is a methyltransferase specifically expressed in striated muscle and CD8+ T cells. Smyd1 deficiency resulted in centronuclear myopathy primarily affecting fast-twitch muscle fibers. These results provide insight into how loss of Smyd1 altered transcriptional programs resulting in centronuclear myopathy.	gene	Tibialis anterior muscle	GSM1843147,GSM1843148,GSM1843149,GSM1843150,GSM1843151,GSM1843152	GSM1843153,GSM1843154,GSM1843155,GSM1843156,GSM1843157,GSM1843158	2017-01-04 00:20:24			gene	GPL13112	GSE71679	Mus musculus	knockout		SMYD1
120	CD	Abstract:The pRb tumor suppressor protein associates with chromatin and regulates gene expression. Numerous studies have identified Rb-dependent RNA signatures, but the proteomic effects of Rb-loss are largely unexplored. We have acutely ablated Rb in adult mice and conducted quantitative analysis of RNA and proteomic changes in colon and lung, where Rb-loss was sufficient or insufficient to induce ectopic proliferation respectively. As expected, RbKO caused similar increases in classic pRb/E2F-regulated transcripts in both tissues, but unexpectedly their protein products increased only in the colon, consistent with its increased proliferative index. Thus, these protein changes induced by Rb-loss are coupled with proliferation, but uncoupled from transcription. The proteomic changes in common between RbKO tissues showed a striking decrease in proteins with mitochondrial functions. Accordingly, RB1 inactivation in human cells decreased both mitochondrial mass and OXPHOS function. RBKO cells showed decreased mitochondrial respiratory capacity and the accumulation of hypopolarized mitochondria. Additionally, RB/Rb-loss altered mitochondrial pyruvate oxidation from 13C-Glucose through the TCA cycle in both cells and mouse tissues. Consequently, RBKO cells have an enhanced sensitivity to mitochondrial stress conditions. In summary, proteomic analyses provide a new perspective on Rb/RB1 mutation, highlighting the importance of pRb for mitochondrial function and suggesting vulnerabilities for treatment.	gene	Colon	GSM1847431,GSM1847432,GSM1847433	GSM1847434,GSM1847435,GSM1847436	2017-01-04 00:20:29			gene	GPL13112	GSE71924	Mus musculus	knockout		Rb1
121	CD	Abstract:The pRb tumor suppressor protein associates with chromatin and regulates gene expression. Numerous studies have identified Rb-dependent RNA signatures, but the proteomic effects of Rb-loss are largely unexplored. We have acutely ablated Rb in adult mice and conducted quantitative analysis of RNA and proteomic changes in colon and lung, where Rb-loss was sufficient or insufficient to induce ectopic proliferation respectively. As expected, RbKO caused similar increases in classic pRb/E2F-regulated transcripts in both tissues, but unexpectedly their protein products increased only in the colon, consistent with its increased proliferative index. Thus, these protein changes induced by Rb-loss are coupled with proliferation, but uncoupled from transcription. The proteomic changes in common between RbKO tissues showed a striking decrease in proteins with mitochondrial functions. Accordingly, RB1 inactivation in human cells decreased both mitochondrial mass and OXPHOS function. RBKO cells showed decreased mitochondrial respiratory capacity and the accumulation of hypopolarized mitochondria. Additionally, RB/Rb-loss altered mitochondrial pyruvate oxidation from 13C-Glucose through the TCA cycle in both cells and mouse tissues. Consequently, RBKO cells have an enhanced sensitivity to mitochondrial stress conditions. In summary, proteomic analyses provide a new perspective on Rb/RB1 mutation, highlighting the importance of pRb for mitochondrial function and suggesting vulnerabilities for treatment.	gene	Lung	GSM1847437,GSM1847438,GSM1847439	GSM1847440,GSM1847441,GSM1847442	2017-01-04 00:20:33			gene	GPL13112	GSE71924	Mus musculus	knockout		Rb1
122	CD	It has widely accepted that 5-methylcytosine is the only form of DNA methylation in mammalian genomes whereas the other forms such as N6-methyladenine primarily exist in prokaryotes and only a few eukaryotes. Herein we demonstrated the surprising presence of N6-methyladenine in mammalian genomes especially mouse embryonic stem cells. This modification is enriched at histone variant H2A.X-deposited genomic regions in wild type embryonic stem cells. Our work also showed that a previously unknown DNA demethylase Alkbh1 is the major demethylase for N6-methyladenine in embryonic stem cells. Increase of N6-methyladenine levels in Alkbh1 deficient cells leads to silencing of genes that regulate embryonic development. Surprisingly genes located on the X-chromosome but not the Y-chromosome or autosomes are preferentially silenced by N6-methyladenine. Strikingly N6-methyladenine in Alkbh1 deficient cells are specifically deposition at young full-length subfamilies of LINE1 transposons that are strongly enriched on the X chromosome. Furthermore N6-methyladenine deposition on LINE1s pattern is inversely correlated with their evolutionary age. The deposition of N6-methyladenine results in epigenetic silencing of such L1s which are otherwise actively transcribed in wild type embryonic stem cells and the neighboring enhancers and genes. Furthermore N6-methyladenine induced-silencing resists gene activation signals during embryonic stem cell differentiation. Thus N6-methyladenine adopts a new function in epigenetic silencing in evolution distinct from its role in gene activation in other organisms. In Summary	gene	Embryonic stem cells	GSM1847711,GSM1847716	GSM1847712,GSM1847713,GSM1847714,GSM1847715	2017-01-04 00:20:38			gene	GPL9318	GSE71943	Mus musculus	Knockout		Alkbh1
123	CD	Ctcfl a paralog of Ctcf also known as BORIS (Brother of Regulator of Imprinted Sites) is a testis expressed gene whose function is largely unknown. As a cancer testis antigen it is often expressed in tumor cells and also seen in two benign human vascular malformations juvenile angiofibromas (JA) and infantile hemangiomas (IH). To better understand the function of Ctcfl we created tetracycline-inducible Ctcfl transgenic mice. We show that when Ctcfl expression is induced during embryogenesis it results in intrauterine growth retardation developmental eye malformations multi-organ pathologies vascular defects and early neonatal lethality. This phenotype resembles prior mouse models which perturb the TGFB pathway. Embryonic stem cells with the Ctcfl transgene reproduce the same phenotype in ES cell: tetraploid chimeras. RNA-Seq of the Ctcfl ES cells revealed 14 genes including a number of transcription factors/ co-activators and signal transduction pathway genes that are significantly deregulated by Ctcfl expression. Bioinformatics analysis revealed the TGFB pathway to be most affected by embryonic Ctcfl expression. We propose that our transgenic mice reiterate a developmental program normally reserved for spermatogenesis that results in multiple organ pathology when expressed in embryogenesis as a result of the TGFB pathway dysregulation. Understanding of the phenotypic consequence of Ctcfl expression in non-testicular cells and elucidating downstream targets of Ctcfl has the potential to explain its role as a cancer testis antigen (CTA) and its involvement in two if not more human vascular malformations.	gene		GSM1857103,GSM1857104	GSM1857101,GSM1857102	2017-01-04 00:20:42			gene	GPL13112	GSE72178	Mus musculus	Transgenic		Ctcfl
124	CD	RNA-binding proteins participate in a complex array of post-transcriptional controls essential to cell-type specification and somatic development. Despite their detailed biochemical characterizations, the degree to which each RNA-binding protein impacts on mammalian embryonic development remains incompletely defined and the level of functional redundancy among subsets of these proteins remains open to question. The poly-(C) binding proteins, Pcbp’s (aCPs, hnRNPEs), are encoded by a highly conserved and broadly expressed gene family. The two major Pcbp isoforms, Pcbp2 and Pcbp1, are robustly expressed in a wide range of tissues and exert both nuclear and cytoplasmic controls over gene expression. Here we report that Pcbp1-null embryos are rendered nonviable in the peri-implantation stage. In contrast, Pcbp2-null embryos survive until mid-gestation at which time they undergo a loss in viability associated with cardiovascular and hematopoietic abnormalities. Adult mice heterozygous for either Pcbp1 or Pcbp2 null alleles display a mild and non-disruptive growth defect. These data reveal that Pcbp1 and Pcbp2 are individually essential for mouse embryonic development and post-natal growth, reveal a non-redundant in vivo role for Pcpb2 in hematopoiesis, and provide direct evidence that Pcbp1, a retrotransposed derivative of Pcpb2, has evolved essential function(s) in the mammalian genome.	gene	Fetal liver 	GSM1863215,GSM1863216,GSM1863217,GSM1863218	GSM1863219,GSM1863220,GSM1863221	2017-01-04 00:20:49			gene	GPL17021	GSE72491	Mus musculus	knockout		Pcbp2
125	CD	Mutations in CHD7 encoding ATP-dependent chromodomain-helicase-DNA-binding protein 7 in CHARGE syndrome leads to multiple congenital anomalies including growth retardation craniofacial malformations and neurological dysfunction. Currently mechanisms underlying the CNS phenotypes remain poorly understood. Here we show that Chd7 is a direct transcriptional target of oligodendrogenesis-promoting factors Olig2 and Brg1 and required for proper timing of CNS myelination and remyelination. Genome-occupancy analyses coupled with transcriptome profiling reveal that Chd7 cooperates with Sox10 to target the enhancers of key myelinogenic genes and identify novel Chd7 target.	gene	Spinal Cord	GSM1869164,GSM1869165	GSM1869166,GSM1869167	2017-01-04 00:20:52			gene	GPL13112	GSE72726	Mus musculus	Conditional Knockout		Chd7
126	CD	The integrity of chromatin which provides a dynamic template for all DNA-related processes in eukaryotes is maintained through replication-dependent and -independent assembly pathways. To address the role of replication-independent histone deposition we deleted the histone H3.3 chaperone Hira in developing mouse oocytes. We show that chromatin of non-replicative developing oocytes is highly dynamic and that lack of continuous H3.3/H4 deposition alters chromatin structure resulting in increased DNase I sensitivity the accumulation of DNA damage and ultimately a severe fertility phenotype. On the molecular level abnormal chromatin structure leads to a dramatic decrease in the dynamic range of gene expression the appearance of spurious transcripts and inefficient de novo DNA methylation. In contrast to the only minor transcriptional phenotype observed in mouse pluripotent cells we unequivocally show the importance of histone replacement and chromatin homeostasis for transcriptional regulation and normal developmental progression in an in vivo context.	gene	Oocyte	GSM1892302,GSM1892303,GSM1892304	GSM1892305,GSM1892306,GSM1892307,GSM1892308	2017-01-04 00:20:58			gene	GPL17021	GSE73381	Mus musculus	Knockout		Hira
127	CD	The sequential activation of distinct developmental gene networks governs the ultimate identity of a cell, but the mechanisms by which downstream programs are activated are incompletely understood. The preB-cell receptor (preBCR) is an important checkpoint of B-cell development and essential for a preB-cell to traverse into an immature B-cell. Here, we show that activation of Mef2 transcription factors by preBCR is necessary for initiating the subsequent genetic network. We demonstrate that B-cell development is blocked at the preB-cell stage in mice deficient for Mef2c and Mef2d transcription factors and that preBCR signaling enhances the transcriptional activity of Mef2c/d through phosphorylation by the ERK5 mitogen activating kinase. This activation is instrumental in inducing Krüppel-like factor 2 and several immediate early genes of the AP1 and Egr family. Finally, we show that Mef2 proteins cooperate with the products of their target genes (Irf4 and Egr2) to induce secondary waves of transcriptional regulation. Our findings uncover a novel role for Mef2c/d in coordinating the transcriptional network that promotes early B-cell development.	gene	proB-cells	GSM1897972,GSM1897973	GSM1897974,GSM1897975	2017-01-04 00:21:01			gene	GPL17021	GSE73560	Mus musculus	knockout		Klf2
128	CD	The sequential activation of distinct developmental gene networks governs the ultimate identity of a cell, but the mechanisms by which downstream programs are activated are incompletely understood. The preB-cell receptor (preBCR) is an important checkpoint of B-cell development and essential for a preB-cell to traverse into an immature B-cell. Here, we show that activation of Mef2 transcription factors by preBCR is necessary for initiating the subsequent genetic network. We demonstrate that B-cell development is blocked at the preB-cell stage in mice deficient for Mef2c and Mef2d transcription factors and that preBCR signaling enhances the transcriptional activity of Mef2c/d through phosphorylation by the ERK5 mitogen activating kinase. This activation is instrumental in inducing Krüppel-like factor 2 and several immediate early genes of the AP1 and Egr family. Finally, we show that Mef2 proteins cooperate with the products of their target genes (Irf4 and Egr2) to induce secondary waves of transcriptional regulation. Our findings uncover a novel role for Mef2c/d in coordinating the transcriptional network that promotes early B-cell development.	gene	proB-cells	GSM1897976,GSM1897978,GSM1897980	GSM1897977,GSM1897979,GSM1897981	2017-01-04 00:21:09			gene	GPL17021	GSE73561	Mus musculus	knockout		Mef2c/d
129	CD	We report the transcriptome changes that result of the genomic deletion of one or two alleles of an islet-specific long non-coding RNA (Blinc1) in isolated pancreas from e15.5 mouse embryos.	gene	Pancreas	GSM1901172,GSM1901173,GSM1901174	GSM1901169,GSM1901170,GSM1901171	2017-01-04 00:21:14			gene	GPL13112	GSE73711	Mus musculus	Knockout		Blinc1
130	CD	We report the transcriptome changes that result of the genomic deletion of one or two alleles of an islet-specific long non-coding RNA (Blinc1) in isolated pancreas from e15.5 mouse embryos.	gene	Pancreas	GSM1901172,GSM1901173,GSM1901174	GSM1901175,GSM1901176,GSM1901177	2017-01-04 00:21:18			gene	GPL13112	GSE73711	Mus musculus	Heterozygous Knockout (+/-)		Blinc1
131	CD	RNA-seq analysis of GV oocytes, with three biological replicates for each genotype	gene	Oocyte	GSM1903780,GSM1903781,GSM1903782	GSM1903777,GSM1903778,GSM1903779	2017-01-04 00:21:23			gene	GPL13112	GSE73803	Mus musculus	knockout		Lsd1
